,annual_return,annual_volatility,excess_sharpe,max_drawdown,start,end,obs
VAS.AX,0.10871925661319173,0.15440115396215867,0.560053206265068,-0.35752055134954286,2019-01-03,2026-07-02,1896
VSO.AX,0.11511922218283174,0.1814125868713285,0.5119293215734221,-0.40604723553468147,2019-01-03,2026-07-02,1896
VHY.AX,0.12853999126726443,0.1522344891326351,0.698222239852046,-0.3554151117804977,2019-01-03,2026-07-02,1896
VAP.AX,0.09153347728774328,0.2281698799570819,0.30368029920579853,-0.4841269228302909,2019-01-03,2026-07-02,1896
VGS.AX,0.15362489916850972,0.13352303154477121,0.9842186966425119,-0.2339074500831767,2019-01-03,2026-07-02,1894
VGAD.AX,0.15037687291491275,0.17787703724174594,0.7203736555142304,-0.36063273315037025,2019-01-03,2026-07-02,1896
VGE.AX,0.09439099471294407,0.14655945650824012,0.4923298457345437,-0.22926503447733093,2019-01-03,2026-07-02,1896
VAF.AX,0.014412215692277722,0.046402594266410614,-0.16886742181588976,-0.15560467817976198,2019-01-03,2026-07-02,1896
VBND.AX,0.009469592460049225,0.049353063628954225,-0.2589354497367547,-0.18179380292955738,2019-01-03,2026-07-02,1896
QAU.AX,0.14839534098960788,0.17832316408140256,0.7075187458413729,-0.2895715179063808,2019-01-03,2026-07-02,1896
