date,profile,method,VAS.AX,VSO.AX,VHY.AX,VAP.AX,VGS.AX,VGAD.AX,VGE.AX,VAF.AX,VBND.AX,QAU.AX
2020-12-31,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-01-29,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-02-26,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-03-31,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-04-30,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-05-31,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-06-30,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-07-30,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-08-31,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-09-30,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-10-29,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-11-30,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2021-12-31,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2022-01-31,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2022-02-28,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2022-03-31,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2022-04-29,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2022-05-31,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2022-06-30,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2022-07-29,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
2022-08-31,Trustee_Conservative,Benchmark,0.15,0.02,0.05,0.03,0.18,0.1,0.02,0.25,0.15,0.05
