profile,Kelly_Growth,Kelly_Growth,Kelly_Growth,Market_Balanced,Market_Balanced,Market_Balanced,Trustee_Conservative,Trustee_Conservative,Trustee_Conservative
view_scenario,AbsoluteOnly,Combined,RelativeOnly,AbsoluteOnly,Combined,RelativeOnly,AbsoluteOnly,Combined,RelativeOnly
ticker,,,,,,,,,
QAU.AX,0.022684540206077283,0.021373442684660772,-0.0003848104664001524,0.027048885819438626,0.024923547883191823,0.005589407290854342,0.03287766945923696,0.030330100294635898,0.0150422966723903
VAF.AX,0.003307935387912402,0.0029112617846472726,0.0005018061515243502,0.005017090146290422,0.004482753946792384,0.0026569112068861042,0.008989575074114634,0.008384600840433997,0.007079285800832326
VAP.AX,0.04810436209537646,0.04309891530139988,0.010983792628713542,0.07124492419073934,0.06271451308827078,0.041662254174447785,0.08828217340892915,0.07792099640385967,0.06456161070197569
VAS.AX,0.04221434534357519,0.034137331459499876,0.004727944490626658,0.06212325563359651,0.04897256588987695,0.02985808537412085,0.07418215313896102,0.058400069925670414,0.04636805002760636
VBND.AX,0.0035800314062870986,0.002769613992303301,4.1150831651928446e-05,0.005740590183236037,0.004521282100513613,0.0024188348309153885,0.009847606494151357,0.008416914504136126,0.006895897412461596
VGAD.AX,0.05633268793378881,0.05499748346273296,0.016279302742632586,0.07471467577726161,0.07231088439178966,0.04660477144123642,0.08847609605104985,0.08551653235007634,0.06901019868332306
VGE.AX,0.03298917825014826,0.0325012170644741,0.010607677647240663,0.042287211026877956,0.041382679715278835,0.026964723736448742,0.04738745807710826,0.04626612942798898,0.03707734681307919
VGS.AX,0.04935371132635067,0.04997729888006683,0.01651898201457285,0.059164351761597324,0.060682249118117655,0.0392520458323112,0.06597217447452584,0.06795731355057638,0.054657250771139435
VHY.AX,0.03800971136101286,0.037636997454363295,0.01007089016488743,0.055617292642830767,0.05193411690786965,0.03406322425295942,0.06652769423168733,0.06110665859394818,0.049884794159768084
VSO.AX,0.049690285344127325,0.04483678138135126,0.010426998229128468,0.07028802280391347,0.061871637719985974,0.03882461558704758,0.08348367653058074,0.07321595301439374,0.058298707900728684
