,Trustee_Conservative,Market_Balanced,Kelly_Growth
VAS.AX,0.061575757462964044,0.04358955178295398,0.015449068079900503
VSO.AX,0.06780166858094724,0.047410473350089,0.01711853021891839
VHY.AX,0.05520619852072788,0.038917815030350376,0.013749512781177975
VAP.AX,0.07389102285051156,0.050088969114320044,0.01755655159865796
VGS.AX,0.04943792613628779,0.034517384174892904,0.012871667326326833
VGAD.AX,0.06986462227846915,0.04737027836658322,0.016890406867366654
VGE.AX,0.03684994091304081,0.026755111481695616,0.010453631367868992
VAF.AX,0.007712113592917168,0.003226305091569308,0.000950872144669318
VBND.AX,0.00847586723698494,0.003844157671744664,0.00115686667738603
QAU.AX,0.0202016900364714,0.010250914922478215,0.0032481412506095418
