portfolio,profile,view_scenario,method,ticker,risk_contribution
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,VAS.AX,0.20556091586359584
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,VSO.AX,0.05248533138832426
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,VHY.AX,0.029193614044394123
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,VAP.AX,0.0631311554894743
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,VGS.AX,0.3603976266022421
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,VGAD.AX,0.1954857743331993
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,VGE.AX,0.0
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,VAF.AX,0.02358148609781755
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,VBND.AX,0.01418826527216011
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,QAU.AX,0.055975830908792226
Trustee_Conservative_AbsoluteOnly_MaxSharpe,Trustee_Conservative,AbsoluteOnly,MaxSharpe,VAS.AX,0.18923306601604484
Trustee_Conservative_AbsoluteOnly_MaxSharpe,Trustee_Conservative,AbsoluteOnly,MaxSharpe,VSO.AX,0.028416935292881453
Trustee_Conservative_AbsoluteOnly_MaxSharpe,Trustee_Conservative,AbsoluteOnly,MaxSharpe,VHY.AX,0.056571020537343183
Trustee_Conservative_AbsoluteOnly_MaxSharpe,Trustee_Conservative,AbsoluteOnly,MaxSharpe,VAP.AX,0.04501980104925705
Trustee_Conservative_AbsoluteOnly_MaxSharpe,Trustee_Conservative,AbsoluteOnly,MaxSharpe,VGS.AX,0.38178836126196775
Trustee_Conservative_AbsoluteOnly_MaxSharpe,Trustee_Conservative,AbsoluteOnly,MaxSharpe,VGAD.AX,0.1504960392214176
Trustee_Conservative_AbsoluteOnly_MaxSharpe,Trustee_Conservative,AbsoluteOnly,MaxSharpe,VGE.AX,0.016126962190543537
