scenario,profile,ticker,posterior_return
tau_0.025,Trustee_Conservative,VAS.AX,0.058400069925670414
tau_0.025,Trustee_Conservative,VSO.AX,0.07321595301439374
tau_0.025,Trustee_Conservative,VHY.AX,0.06110665859394818
tau_0.025,Trustee_Conservative,VAP.AX,0.07792099640385967
tau_0.025,Trustee_Conservative,VGS.AX,0.06795731355057638
tau_0.025,Trustee_Conservative,VGAD.AX,0.08551653235007634
tau_0.025,Trustee_Conservative,VGE.AX,0.04626612942798898
tau_0.025,Trustee_Conservative,VAF.AX,0.008384600840433997
tau_0.025,Trustee_Conservative,VBND.AX,0.008416914504136126
tau_0.025,Trustee_Conservative,QAU.AX,0.030330100294635898
tau_0.025,Market_Balanced,VAS.AX,0.04897256588987695
tau_0.025,Market_Balanced,VSO.AX,0.061871637719985974
tau_0.025,Market_Balanced,VHY.AX,0.05193411690786965
tau_0.025,Market_Balanced,VAP.AX,0.06271451308827078
tau_0.025,Market_Balanced,VGS.AX,0.060682249118117655
tau_0.025,Market_Balanced,VGAD.AX,0.07231088439178966
tau_0.025,Market_Balanced,VGE.AX,0.041382679715278835
tau_0.025,Market_Balanced,VAF.AX,0.004482753946792384
tau_0.025,Market_Balanced,VBND.AX,0.004521282100513613
tau_0.025,Market_Balanced,QAU.AX,0.024923547883191823
tau_0.025,Kelly_Growth,VAS.AX,0.034137331459499876
tau_0.025,Kelly_Growth,VSO.AX,0.04483678138135126
tau_0.025,Kelly_Growth,VHY.AX,0.037636997454363295
tau_0.025,Kelly_Growth,VAP.AX,0.04309891530139988
tau_0.025,Kelly_Growth,VGS.AX,0.04997729888006683
tau_0.025,Kelly_Growth,VGAD.AX,0.05499748346273296
tau_0.025,Kelly_Growth,VGE.AX,0.0325012170644741
tau_0.025,Kelly_Growth,VAF.AX,0.0029112617846472726
tau_0.025,Kelly_Growth,VBND.AX,0.002769613992303301
tau_0.025,Kelly_Growth,QAU.AX,0.021373442684660772
tau_0.05,Trustee_Conservative,VAS.AX,0.058400069925670414
tau_0.05,Trustee_Conservative,VSO.AX,0.07321595301439374
tau_0.05,Trustee_Conservative,VHY.AX,0.06110665859394818
tau_0.05,Trustee_Conservative,VAP.AX,0.07792099640385967
tau_0.05,Trustee_Conservative,VGS.AX,0.06795731355057638
tau_0.05,Trustee_Conservative,VGAD.AX,0.08551653235007634
tau_0.05,Trustee_Conservative,VGE.AX,0.04626612942798898
tau_0.05,Trustee_Conservative,VAF.AX,0.008384600840433997
tau_0.05,Trustee_Conservative,VBND.AX,0.008416914504136126
tau_0.05,Trustee_Conservative,QAU.AX,0.030330100294635898
tau_0.05,Market_Balanced,VAS.AX,0.04897256588987695
tau_0.05,Market_Balanced,VSO.AX,0.061871637719985974
tau_0.05,Market_Balanced,VHY.AX,0.05193411690786965
tau_0.05,Market_Balanced,VAP.AX,0.06271451308827078
tau_0.05,Market_Balanced,VGS.AX,0.060682249118117655
tau_0.05,Market_Balanced,VGAD.AX,0.07231088439178966
tau_0.05,Market_Balanced,VGE.AX,0.041382679715278835
tau_0.05,Market_Balanced,VAF.AX,0.004482753946792384
tau_0.05,Market_Balanced,VBND.AX,0.004521282100513613
tau_0.05,Market_Balanced,QAU.AX,0.024923547883191823
tau_0.05,Kelly_Growth,VAS.AX,0.034137331459499876
tau_0.05,Kelly_Growth,VSO.AX,0.04483678138135126
tau_0.05,Kelly_Growth,VHY.AX,0.037636997454363295
tau_0.05,Kelly_Growth,VAP.AX,0.04309891530139988
tau_0.05,Kelly_Growth,VGS.AX,0.04997729888006683
tau_0.05,Kelly_Growth,VGAD.AX,0.05499748346273296
tau_0.05,Kelly_Growth,VGE.AX,0.0325012170644741
tau_0.05,Kelly_Growth,VAF.AX,0.0029112617846472726
tau_0.05,Kelly_Growth,VBND.AX,0.002769613992303301
tau_0.05,Kelly_Growth,QAU.AX,0.021373442684660772
tau_0.1,Trustee_Conservative,VAS.AX,0.058400069925670414
tau_0.1,Trustee_Conservative,VSO.AX,0.07321595301439374
tau_0.1,Trustee_Conservative,VHY.AX,0.06110665859394818
tau_0.1,Trustee_Conservative,VAP.AX,0.07792099640385967
tau_0.1,Trustee_Conservative,VGS.AX,0.06795731355057638
tau_0.1,Trustee_Conservative,VGAD.AX,0.08551653235007634
tau_0.1,Trustee_Conservative,VGE.AX,0.04626612942798898
tau_0.1,Trustee_Conservative,VAF.AX,0.008384600840433997
tau_0.1,Trustee_Conservative,VBND.AX,0.008416914504136126
tau_0.1,Trustee_Conservative,QAU.AX,0.030330100294635898
tau_0.1,Market_Balanced,VAS.AX,0.04897256588987695
tau_0.1,Market_Balanced,VSO.AX,0.061871637719985974
tau_0.1,Market_Balanced,VHY.AX,0.05193411690786965
tau_0.1,Market_Balanced,VAP.AX,0.06271451308827078
tau_0.1,Market_Balanced,VGS.AX,0.060682249118117655
tau_0.1,Market_Balanced,VGAD.AX,0.07231088439178966
tau_0.1,Market_Balanced,VGE.AX,0.041382679715278835
tau_0.1,Market_Balanced,VAF.AX,0.004482753946792384
tau_0.1,Market_Balanced,VBND.AX,0.004521282100513613
tau_0.1,Market_Balanced,QAU.AX,0.024923547883191823
tau_0.1,Kelly_Growth,VAS.AX,0.034137331459499876
tau_0.1,Kelly_Growth,VSO.AX,0.04483678138135126
tau_0.1,Kelly_Growth,VHY.AX,0.037636997454363295
tau_0.1,Kelly_Growth,VAP.AX,0.04309891530139988
tau_0.1,Kelly_Growth,VGS.AX,0.04997729888006683
tau_0.1,Kelly_Growth,VGAD.AX,0.05499748346273296
tau_0.1,Kelly_Growth,VGE.AX,0.0325012170644741
tau_0.1,Kelly_Growth,VAF.AX,0.0029112617846472726
tau_0.1,Kelly_Growth,VBND.AX,0.002769613992303301
tau_0.1,Kelly_Growth,QAU.AX,0.021373442684660772
confidence_scale_0.6,Trustee_Conservative,VAS.AX,0.05929033820297792
confidence_scale_0.6,Trustee_Conservative,VSO.AX,0.0708598863600822
confidence_scale_0.6,Trustee_Conservative,VHY.AX,0.05868547308824958
confidence_scale_0.6,Trustee_Conservative,VAP.AX,0.07618639159651153
confidence_scale_0.6,Trustee_Conservative,VGS.AX,0.061227397053492554
confidence_scale_0.6,Trustee_Conservative,VGAD.AX,0.07954577770211653
confidence_scale_0.6,Trustee_Conservative,VGE.AX,0.04271585720855017
confidence_scale_0.6,Trustee_Conservative,VAF.AX,0.008076277128440505
confidence_scale_0.6,Trustee_Conservative,VBND.AX,0.008349531282053974
confidence_scale_0.6,Trustee_Conservative,QAU.AX,0.025459506644179546
confidence_scale_0.6,Market_Balanced,VAS.AX,0.04613482985859465
confidence_scale_0.6,Market_Balanced,VSO.AX,0.05561737781300575
confidence_scale_0.6,Market_Balanced,VHY.AX,0.04627807774042401
confidence_scale_0.6,Market_Balanced,VAP.AX,0.05727066517466122
confidence_scale_0.6,Market_Balanced,VGS.AX,0.050826888586595745
confidence_scale_0.6,Market_Balanced,VGAD.AX,0.06243845859331323
confidence_scale_0.6,Market_Balanced,VGE.AX,0.03564892895784227
confidence_scale_0.6,Market_Balanced,VAF.AX,0.0039367127779179065
confidence_scale_0.6,Market_Balanced,VBND.AX,0.0041442088661814685
confidence_scale_0.6,Market_Balanced,QAU.AX,0.018210245913678116
confidence_scale_0.6,Kelly_Growth,VAS.AX,0.025464796627358375
confidence_scale_0.6,Kelly_Growth,VSO.AX,0.03281449451048704
confidence_scale_0.6,Kelly_Growth,VHY.AX,0.02698873849346445
confidence_scale_0.6,Kelly_Growth,VAP.AX,0.032033218807814005
confidence_scale_0.6,Kelly_Growth,VGS.AX,0.03562237261594579
confidence_scale_0.6,Kelly_Growth,VGAD.AX,0.03954533891425868
confidence_scale_0.6,Kelly_Growth,VGE.AX,0.023631952190889448
confidence_scale_0.6,Kelly_Growth,VAF.AX,0.002078031729906669
confidence_scale_0.6,Kelly_Growth,VBND.AX,0.0019947099690681086
confidence_scale_0.6,Kelly_Growth,QAU.AX,0.01327466191793521
confidence_scale_1.0,Trustee_Conservative,VAS.AX,0.058400069925670414
confidence_scale_1.0,Trustee_Conservative,VSO.AX,0.07321595301439374
confidence_scale_1.0,Trustee_Conservative,VHY.AX,0.06110665859394818
confidence_scale_1.0,Trustee_Conservative,VAP.AX,0.07792099640385967
confidence_scale_1.0,Trustee_Conservative,VGS.AX,0.06795731355057638
confidence_scale_1.0,Trustee_Conservative,VGAD.AX,0.08551653235007634
confidence_scale_1.0,Trustee_Conservative,VGE.AX,0.04626612942798898
confidence_scale_1.0,Trustee_Conservative,VAF.AX,0.008384600840433997
confidence_scale_1.0,Trustee_Conservative,VBND.AX,0.008416914504136126
confidence_scale_1.0,Trustee_Conservative,QAU.AX,0.030330100294635898
confidence_scale_1.0,Market_Balanced,VAS.AX,0.04897256588987695
confidence_scale_1.0,Market_Balanced,VSO.AX,0.061871637719985974
confidence_scale_1.0,Market_Balanced,VHY.AX,0.05193411690786965
confidence_scale_1.0,Market_Balanced,VAP.AX,0.06271451308827078
confidence_scale_1.0,Market_Balanced,VGS.AX,0.060682249118117655
confidence_scale_1.0,Market_Balanced,VGAD.AX,0.07231088439178966
confidence_scale_1.0,Market_Balanced,VGE.AX,0.041382679715278835
confidence_scale_1.0,Market_Balanced,VAF.AX,0.004482753946792384
confidence_scale_1.0,Market_Balanced,VBND.AX,0.004521282100513613
confidence_scale_1.0,Market_Balanced,QAU.AX,0.024923547883191823
confidence_scale_1.0,Kelly_Growth,VAS.AX,0.034137331459499876
confidence_scale_1.0,Kelly_Growth,VSO.AX,0.04483678138135126
confidence_scale_1.0,Kelly_Growth,VHY.AX,0.037636997454363295
confidence_scale_1.0,Kelly_Growth,VAP.AX,0.04309891530139988
confidence_scale_1.0,Kelly_Growth,VGS.AX,0.04997729888006683
confidence_scale_1.0,Kelly_Growth,VGAD.AX,0.05499748346273296
confidence_scale_1.0,Kelly_Growth,VGE.AX,0.0325012170644741
confidence_scale_1.0,Kelly_Growth,VAF.AX,0.0029112617846472726
confidence_scale_1.0,Kelly_Growth,VBND.AX,0.002769613992303301
confidence_scale_1.0,Kelly_Growth,QAU.AX,0.021373442684660772
confidence_scale_1.4,Trustee_Conservative,VAS.AX,0.05794643373897761
confidence_scale_1.4,Trustee_Conservative,VSO.AX,0.07583706628780941
confidence_scale_1.4,Trustee_Conservative,VHY.AX,0.06369000911436311
confidence_scale_1.4,Trustee_Conservative,VAP.AX,0.0798465091721332
confidence_scale_1.4,Trustee_Conservative,VGS.AX,0.07406825079777606
confidence_scale_1.4,Trustee_Conservative,VGAD.AX,0.09127693953314148
confidence_scale_1.4,Trustee_Conservative,VGE.AX,0.04964503990778002
confidence_scale_1.4,Trustee_Conservative,VAF.AX,0.008735153986741441
confidence_scale_1.4,Trustee_Conservative,VBND.AX,0.008578857632477295
confidence_scale_1.4,Trustee_Conservative,QAU.AX,0.03606059845650754
confidence_scale_1.4,Market_Balanced,VAS.AX,0.05292333329905301
confidence_scale_1.4,Market_Balanced,VSO.AX,0.06901641192550317
confidence_scale_1.4,Market_Balanced,VHY.AX,0.058599687842076274
confidence_scale_1.4,Market_Balanced,VAP.AX,0.0689618547371694
confidence_scale_1.4,Market_Balanced,VGS.AX,0.0701330653423903
confidence_scale_1.4,Market_Balanced,VGAD.AX,0.08242308793570016
confidence_scale_1.4,Market_Balanced,VGE.AX,0.04718900206026065
confidence_scale_1.4,Market_Balanced,VAF.AX,0.005079633013301864
confidence_scale_1.4,Market_Balanced,VBND.AX,0.005023282821143315
confidence_scale_1.4,Market_Balanced,QAU.AX,0.03249861684699479
confidence_scale_1.4,Kelly_Growth,VAS.AX,0.045056908586910784
confidence_scale_1.4,Kelly_Growth,VSO.AX,0.05878988469101819
confidence_scale_1.4,Kelly_Growth,VHY.AX,0.05070025931493427
confidence_scale_1.4,Kelly_Growth,VAP.AX,0.055992294811482934
confidence_scale_1.4,Kelly_Growth,VGS.AX,0.06429606959971394
confidence_scale_1.4,Kelly_Growth,VGAD.AX,0.07144014377268126
confidence_scale_1.4,Kelly_Growth,VGE.AX,0.04185115420783906
confidence_scale_1.4,Kelly_Growth,VAF.AX,0.0038079302515938458
confidence_scale_1.4,Kelly_Growth,VBND.AX,0.0037176845685536484
confidence_scale_1.4,Kelly_Growth,QAU.AX,0.03028752552823177
shrinkage_0.0,Trustee_Conservative,VAS.AX,0.060813139346554995
shrinkage_0.0,Trustee_Conservative,VSO.AX,0.07477605831903061
shrinkage_0.0,Trustee_Conservative,VHY.AX,0.06311778833028832
shrinkage_0.0,Trustee_Conservative,VAP.AX,0.07912416484218662
shrinkage_0.0,Trustee_Conservative,VGS.AX,0.06898503251367018
shrinkage_0.0,Trustee_Conservative,VGAD.AX,0.0905306534310605
shrinkage_0.0,Trustee_Conservative,VGE.AX,0.050061797725253224
shrinkage_0.0,Trustee_Conservative,VAF.AX,0.008355764416458977
shrinkage_0.0,Trustee_Conservative,VBND.AX,0.008028471228347999
shrinkage_0.0,Trustee_Conservative,QAU.AX,0.02908951972256223
shrinkage_0.0,Market_Balanced,VAS.AX,0.051039099261916264
shrinkage_0.0,Market_Balanced,VSO.AX,0.06295610142527133
shrinkage_0.0,Market_Balanced,VHY.AX,0.05382488750597863
shrinkage_0.0,Market_Balanced,VAP.AX,0.06329389049586724
shrinkage_0.0,Market_Balanced,VGS.AX,0.061332934863813464
shrinkage_0.0,Market_Balanced,VGAD.AX,0.07753330854435861
shrinkage_0.0,Market_Balanced,VGE.AX,0.04489001223701844
shrinkage_0.0,Market_Balanced,VAF.AX,0.0043854711921166595
shrinkage_0.0,Market_Balanced,VBND.AX,0.004025501214242029
shrinkage_0.0,Market_Balanced,QAU.AX,0.023493913502858642
shrinkage_0.0,Kelly_Growth,VAS.AX,0.03585481630977506
shrinkage_0.0,Kelly_Growth,VSO.AX,0.04536048692228329
shrinkage_0.0,Kelly_Growth,VHY.AX,0.03913936950082785
shrinkage_0.0,Kelly_Growth,VAP.AX,0.04315007667008007
shrinkage_0.0,Kelly_Growth,VGS.AX,0.050071693013729025
shrinkage_0.0,Kelly_Growth,VGAD.AX,0.05991880739349972
shrinkage_0.0,Kelly_Growth,VGE.AX,0.03558013362082702
shrinkage_0.0,Kelly_Growth,VAF.AX,0.0027752435425409602
shrinkage_0.0,Kelly_Growth,VBND.AX,0.0022292011168169807
shrinkage_0.0,Kelly_Growth,QAU.AX,0.019859107719773922
