scenario,profile,method,ticker,weight
tau_0.025,Trustee_Conservative,MeanVariance,VAS.AX,0.0
tau_0.025,Trustee_Conservative,MeanVariance,VSO.AX,0.0029123620774523765
tau_0.025,Trustee_Conservative,MeanVariance,VHY.AX,0.11977460396437642
tau_0.025,Trustee_Conservative,MeanVariance,VAP.AX,0.028219075784109097
tau_0.025,Trustee_Conservative,MeanVariance,VGS.AX,0.29999999999999993
tau_0.025,Trustee_Conservative,MeanVariance,VGAD.AX,0.15990737096781044
tau_0.025,Trustee_Conservative,MeanVariance,VGE.AX,0.03380959622793643
tau_0.025,Trustee_Conservative,MeanVariance,VAF.AX,0.2064590870628838
tau_0.025,Trustee_Conservative,MeanVariance,VBND.AX,0.04891790391543143
tau_0.025,Trustee_Conservative,MeanVariance,QAU.AX,0.09999999999999998
tau_0.025,Trustee_Conservative,MaxSharpe,VAS.AX,0.0
tau_0.025,Trustee_Conservative,MaxSharpe,VSO.AX,0.0
tau_0.025,Trustee_Conservative,MaxSharpe,VHY.AX,0.10037180131323724
tau_0.025,Trustee_Conservative,MaxSharpe,VAP.AX,0.010043453900050901
tau_0.025,Trustee_Conservative,MaxSharpe,VGS.AX,0.3
tau_0.025,Trustee_Conservative,MaxSharpe,VGAD.AX,0.09597983872750246
tau_0.025,Trustee_Conservative,MaxSharpe,VGE.AX,0.025941283821383526
tau_0.025,Trustee_Conservative,MaxSharpe,VAF.AX,0.25521972082476024
tau_0.025,Trustee_Conservative,MaxSharpe,VBND.AX,0.11611524364910072
tau_0.025,Trustee_Conservative,MaxSharpe,QAU.AX,0.09632865776396503
tau_0.025,Market_Balanced,MeanVariance,VAS.AX,0.0
tau_0.025,Market_Balanced,MeanVariance,VSO.AX,0.06579466884176291
tau_0.025,Market_Balanced,MeanVariance,VHY.AX,0.11216428771757363
tau_0.025,Market_Balanced,MeanVariance,VAP.AX,0.03172044065638281
tau_0.025,Market_Balanced,MeanVariance,VGS.AX,0.3
tau_0.025,Market_Balanced,MeanVariance,VGAD.AX,0.3
tau_0.025,Market_Balanced,MeanVariance,VGE.AX,0.02334904777250746
tau_0.025,Market_Balanced,MeanVariance,VAF.AX,0.09999999999999999
tau_0.025,Market_Balanced,MeanVariance,VBND.AX,0.0
tau_0.025,Market_Balanced,MeanVariance,QAU.AX,0.06697155501177329
tau_0.025,Market_Balanced,MaxSharpe,VAS.AX,0.0
tau_0.025,Market_Balanced,MaxSharpe,VSO.AX,0.0
tau_0.025,Market_Balanced,MaxSharpe,VHY.AX,0.12168434396133335
tau_0.025,Market_Balanced,MaxSharpe,VAP.AX,0.0018428295852652497
tau_0.025,Market_Balanced,MaxSharpe,VGS.AX,0.30000000000000004
tau_0.025,Market_Balanced,MaxSharpe,VGAD.AX,0.11291101691735611
tau_0.025,Market_Balanced,MaxSharpe,VGE.AX,0.06192707695617082
tau_0.025,Market_Balanced,MaxSharpe,VAF.AX,0.22138806181396445
tau_0.025,Market_Balanced,MaxSharpe,VBND.AX,0.08024667076590997
tau_0.025,Market_Balanced,MaxSharpe,QAU.AX,0.1
tau_0.025,Kelly_Growth,MeanVariance,VAS.AX,0.0
tau_0.025,Kelly_Growth,MeanVariance,VSO.AX,0.1
tau_0.025,Kelly_Growth,MeanVariance,VHY.AX,0.16400808196727196
tau_0.025,Kelly_Growth,MeanVariance,VAP.AX,0.08
tau_0.025,Kelly_Growth,MeanVariance,VGS.AX,0.3
tau_0.025,Kelly_Growth,MeanVariance,VGAD.AX,0.3
tau_0.025,Kelly_Growth,MeanVariance,VGE.AX,0.005991918032728153
tau_0.025,Kelly_Growth,MeanVariance,VAF.AX,0.050000000000000024
tau_0.025,Kelly_Growth,MeanVariance,VBND.AX,0.0
tau_0.025,Kelly_Growth,MeanVariance,QAU.AX,0.0
tau_0.025,Kelly_Growth,MaxSharpe,VAS.AX,0.0
tau_0.025,Kelly_Growth,MaxSharpe,VSO.AX,0.0
tau_0.025,Kelly_Growth,MaxSharpe,VHY.AX,0.08679994224208012
tau_0.025,Kelly_Growth,MaxSharpe,VAP.AX,0.0
tau_0.025,Kelly_Growth,MaxSharpe,VGS.AX,0.29999999999999993
tau_0.025,Kelly_Growth,MaxSharpe,VGAD.AX,0.09857910355121195
tau_0.025,Kelly_Growth,MaxSharpe,VGE.AX,0.07621445868646318
tau_0.025,Kelly_Growth,MaxSharpe,VAF.AX,0.24698201006651158
tau_0.025,Kelly_Growth,MaxSharpe,VBND.AX,0.09142448545373326
tau_0.025,Kelly_Growth,MaxSharpe,QAU.AX,0.09999999999999999
tau_0.05,Trustee_Conservative,MeanVariance,VAS.AX,0.0
tau_0.05,Trustee_Conservative,MeanVariance,VSO.AX,0.0029123620774523765
tau_0.05,Trustee_Conservative,MeanVariance,VHY.AX,0.11977460396437642
tau_0.05,Trustee_Conservative,MeanVariance,VAP.AX,0.028219075784109097
tau_0.05,Trustee_Conservative,MeanVariance,VGS.AX,0.29999999999999993
tau_0.05,Trustee_Conservative,MeanVariance,VGAD.AX,0.15990737096781044
tau_0.05,Trustee_Conservative,MeanVariance,VGE.AX,0.03380959622793643
tau_0.05,Trustee_Conservative,MeanVariance,VAF.AX,0.2064590870628838
tau_0.05,Trustee_Conservative,MeanVariance,VBND.AX,0.04891790391543143
tau_0.05,Trustee_Conservative,MeanVariance,QAU.AX,0.09999999999999998
tau_0.05,Trustee_Conservative,MaxSharpe,VAS.AX,0.0
tau_0.05,Trustee_Conservative,MaxSharpe,VSO.AX,0.0
tau_0.05,Trustee_Conservative,MaxSharpe,VHY.AX,0.10037180131323724
tau_0.05,Trustee_Conservative,MaxSharpe,VAP.AX,0.010043453900050901
tau_0.05,Trustee_Conservative,MaxSharpe,VGS.AX,0.3
tau_0.05,Trustee_Conservative,MaxSharpe,VGAD.AX,0.09597983872750246
tau_0.05,Trustee_Conservative,MaxSharpe,VGE.AX,0.025941283821383526
tau_0.05,Trustee_Conservative,MaxSharpe,VAF.AX,0.25521972082476024
tau_0.05,Trustee_Conservative,MaxSharpe,VBND.AX,0.11611524364910072
tau_0.05,Trustee_Conservative,MaxSharpe,QAU.AX,0.09632865776396503
tau_0.05,Market_Balanced,MeanVariance,VAS.AX,0.0
tau_0.05,Market_Balanced,MeanVariance,VSO.AX,0.06579466884176291
tau_0.05,Market_Balanced,MeanVariance,VHY.AX,0.11216428771757363
tau_0.05,Market_Balanced,MeanVariance,VAP.AX,0.03172044065638281
tau_0.05,Market_Balanced,MeanVariance,VGS.AX,0.3
tau_0.05,Market_Balanced,MeanVariance,VGAD.AX,0.3
tau_0.05,Market_Balanced,MeanVariance,VGE.AX,0.02334904777250746
tau_0.05,Market_Balanced,MeanVariance,VAF.AX,0.09999999999999999
tau_0.05,Market_Balanced,MeanVariance,VBND.AX,0.0
tau_0.05,Market_Balanced,MeanVariance,QAU.AX,0.06697155501177329
tau_0.05,Market_Balanced,MaxSharpe,VAS.AX,0.0
tau_0.05,Market_Balanced,MaxSharpe,VSO.AX,0.0
tau_0.05,Market_Balanced,MaxSharpe,VHY.AX,0.12168434396133335
tau_0.05,Market_Balanced,MaxSharpe,VAP.AX,0.0018428295852652497
tau_0.05,Market_Balanced,MaxSharpe,VGS.AX,0.30000000000000004
tau_0.05,Market_Balanced,MaxSharpe,VGAD.AX,0.11291101691735611
tau_0.05,Market_Balanced,MaxSharpe,VGE.AX,0.06192707695617082
tau_0.05,Market_Balanced,MaxSharpe,VAF.AX,0.22138806181396445
tau_0.05,Market_Balanced,MaxSharpe,VBND.AX,0.08024667076590997
tau_0.05,Market_Balanced,MaxSharpe,QAU.AX,0.1
tau_0.05,Kelly_Growth,MeanVariance,VAS.AX,0.0
tau_0.05,Kelly_Growth,MeanVariance,VSO.AX,0.1
tau_0.05,Kelly_Growth,MeanVariance,VHY.AX,0.16400808196727196
tau_0.05,Kelly_Growth,MeanVariance,VAP.AX,0.08
tau_0.05,Kelly_Growth,MeanVariance,VGS.AX,0.3
tau_0.05,Kelly_Growth,MeanVariance,VGAD.AX,0.3
tau_0.05,Kelly_Growth,MeanVariance,VGE.AX,0.005991918032728153
tau_0.05,Kelly_Growth,MeanVariance,VAF.AX,0.050000000000000024
tau_0.05,Kelly_Growth,MeanVariance,VBND.AX,0.0
tau_0.05,Kelly_Growth,MeanVariance,QAU.AX,0.0
tau_0.05,Kelly_Growth,MaxSharpe,VAS.AX,0.0
tau_0.05,Kelly_Growth,MaxSharpe,VSO.AX,0.0
tau_0.05,Kelly_Growth,MaxSharpe,VHY.AX,0.08679994224208012
tau_0.05,Kelly_Growth,MaxSharpe,VAP.AX,0.0
tau_0.05,Kelly_Growth,MaxSharpe,VGS.AX,0.29999999999999993
tau_0.05,Kelly_Growth,MaxSharpe,VGAD.AX,0.09857910355121195
tau_0.05,Kelly_Growth,MaxSharpe,VGE.AX,0.07621445868646318
tau_0.05,Kelly_Growth,MaxSharpe,VAF.AX,0.24698201006651158
tau_0.05,Kelly_Growth,MaxSharpe,VBND.AX,0.09142448545373326
tau_0.05,Kelly_Growth,MaxSharpe,QAU.AX,0.09999999999999999
tau_0.1,Trustee_Conservative,MeanVariance,VAS.AX,0.0
tau_0.1,Trustee_Conservative,MeanVariance,VSO.AX,0.0029123620774523765
tau_0.1,Trustee_Conservative,MeanVariance,VHY.AX,0.11977460396437642
tau_0.1,Trustee_Conservative,MeanVariance,VAP.AX,0.028219075784109097
tau_0.1,Trustee_Conservative,MeanVariance,VGS.AX,0.29999999999999993
tau_0.1,Trustee_Conservative,MeanVariance,VGAD.AX,0.15990737096781044
tau_0.1,Trustee_Conservative,MeanVariance,VGE.AX,0.03380959622793643
tau_0.1,Trustee_Conservative,MeanVariance,VAF.AX,0.2064590870628838
tau_0.1,Trustee_Conservative,MeanVariance,VBND.AX,0.04891790391543143
tau_0.1,Trustee_Conservative,MeanVariance,QAU.AX,0.09999999999999998
tau_0.1,Trustee_Conservative,MaxSharpe,VAS.AX,0.0
tau_0.1,Trustee_Conservative,MaxSharpe,VSO.AX,0.0
tau_0.1,Trustee_Conservative,MaxSharpe,VHY.AX,0.10037180131323724
tau_0.1,Trustee_Conservative,MaxSharpe,VAP.AX,0.010043453900050901
tau_0.1,Trustee_Conservative,MaxSharpe,VGS.AX,0.3
tau_0.1,Trustee_Conservative,MaxSharpe,VGAD.AX,0.09597983872750246
tau_0.1,Trustee_Conservative,MaxSharpe,VGE.AX,0.025941283821383526
tau_0.1,Trustee_Conservative,MaxSharpe,VAF.AX,0.25521972082476024
tau_0.1,Trustee_Conservative,MaxSharpe,VBND.AX,0.11611524364910072
tau_0.1,Trustee_Conservative,MaxSharpe,QAU.AX,0.09632865776396503
tau_0.1,Market_Balanced,MeanVariance,VAS.AX,0.0
tau_0.1,Market_Balanced,MeanVariance,VSO.AX,0.06579466884176291
tau_0.1,Market_Balanced,MeanVariance,VHY.AX,0.11216428771757363
tau_0.1,Market_Balanced,MeanVariance,VAP.AX,0.03172044065638281
tau_0.1,Market_Balanced,MeanVariance,VGS.AX,0.3
tau_0.1,Market_Balanced,MeanVariance,VGAD.AX,0.3
tau_0.1,Market_Balanced,MeanVariance,VGE.AX,0.02334904777250746
tau_0.1,Market_Balanced,MeanVariance,VAF.AX,0.09999999999999999
tau_0.1,Market_Balanced,MeanVariance,VBND.AX,0.0
tau_0.1,Market_Balanced,MeanVariance,QAU.AX,0.06697155501177329
tau_0.1,Market_Balanced,MaxSharpe,VAS.AX,0.0
tau_0.1,Market_Balanced,MaxSharpe,VSO.AX,0.0
tau_0.1,Market_Balanced,MaxSharpe,VHY.AX,0.12168434396133335
tau_0.1,Market_Balanced,MaxSharpe,VAP.AX,0.0018428295852652497
tau_0.1,Market_Balanced,MaxSharpe,VGS.AX,0.30000000000000004
tau_0.1,Market_Balanced,MaxSharpe,VGAD.AX,0.11291101691735611
tau_0.1,Market_Balanced,MaxSharpe,VGE.AX,0.06192707695617082
tau_0.1,Market_Balanced,MaxSharpe,VAF.AX,0.22138806181396445
tau_0.1,Market_Balanced,MaxSharpe,VBND.AX,0.08024667076590997
tau_0.1,Market_Balanced,MaxSharpe,QAU.AX,0.1
tau_0.1,Kelly_Growth,MeanVariance,VAS.AX,0.0
tau_0.1,Kelly_Growth,MeanVariance,VSO.AX,0.1
tau_0.1,Kelly_Growth,MeanVariance,VHY.AX,0.16400808196727196
tau_0.1,Kelly_Growth,MeanVariance,VAP.AX,0.08
tau_0.1,Kelly_Growth,MeanVariance,VGS.AX,0.3
tau_0.1,Kelly_Growth,MeanVariance,VGAD.AX,0.3
tau_0.1,Kelly_Growth,MeanVariance,VGE.AX,0.005991918032728153
tau_0.1,Kelly_Growth,MeanVariance,VAF.AX,0.050000000000000024
tau_0.1,Kelly_Growth,MeanVariance,VBND.AX,0.0
tau_0.1,Kelly_Growth,MeanVariance,QAU.AX,0.0
tau_0.1,Kelly_Growth,MaxSharpe,VAS.AX,0.0
tau_0.1,Kelly_Growth,MaxSharpe,VSO.AX,0.0
tau_0.1,Kelly_Growth,MaxSharpe,VHY.AX,0.08679994224208012
tau_0.1,Kelly_Growth,MaxSharpe,VAP.AX,0.0
tau_0.1,Kelly_Growth,MaxSharpe,VGS.AX,0.29999999999999993
tau_0.1,Kelly_Growth,MaxSharpe,VGAD.AX,0.09857910355121195
tau_0.1,Kelly_Growth,MaxSharpe,VGE.AX,0.07621445868646318
tau_0.1,Kelly_Growth,MaxSharpe,VAF.AX,0.24698201006651158
tau_0.1,Kelly_Growth,MaxSharpe,VBND.AX,0.09142448545373326
tau_0.1,Kelly_Growth,MaxSharpe,QAU.AX,0.09999999999999999
confidence_scale_0.6,Trustee_Conservative,MeanVariance,VAS.AX,0.0
confidence_scale_0.6,Trustee_Conservative,MeanVariance,VSO.AX,0.017708644066888782
confidence_scale_0.6,Trustee_Conservative,MeanVariance,VHY.AX,0.12013095206168835
confidence_scale_0.6,Trustee_Conservative,MeanVariance,VAP.AX,0.033755987869455883
confidence_scale_0.6,Trustee_Conservative,MeanVariance,VGS.AX,0.30000000000000004
confidence_scale_0.6,Trustee_Conservative,MeanVariance,VGAD.AX,0.12145077429944616
confidence_scale_0.6,Trustee_Conservative,MeanVariance,VGE.AX,0.02241659704887931
confidence_scale_0.6,Trustee_Conservative,MeanVariance,VAF.AX,0.20211947515503959
confidence_scale_0.6,Trustee_Conservative,MeanVariance,VBND.AX,0.09173878976388808
confidence_scale_0.6,Trustee_Conservative,MeanVariance,QAU.AX,0.090678779734714
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,VAS.AX,0.0
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,VSO.AX,0.009877449091929936
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,VHY.AX,0.11040888857132564
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,VAP.AX,0.023076155065290708
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,VGS.AX,0.3
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,VGAD.AX,0.09168152518210411
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,VGE.AX,0.019805147064600286
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,VAF.AX,0.23206284491121004
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,VBND.AX,0.12955667212424485
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,QAU.AX,0.08353131798929446
confidence_scale_0.6,Market_Balanced,MeanVariance,VAS.AX,0.0
confidence_scale_0.6,Market_Balanced,MeanVariance,VSO.AX,0.06927802884239428
confidence_scale_0.6,Market_Balanced,MeanVariance,VHY.AX,0.13434021549848343
confidence_scale_0.6,Market_Balanced,MeanVariance,VAP.AX,0.04381963440522044
confidence_scale_0.6,Market_Balanced,MeanVariance,VGS.AX,0.3
confidence_scale_0.6,Market_Balanced,MeanVariance,VGAD.AX,0.24898555415230733
confidence_scale_0.6,Market_Balanced,MeanVariance,VGE.AX,0.040725078471891524
confidence_scale_0.6,Market_Balanced,MeanVariance,VAF.AX,0.09999999999999995
